Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  68.0000, AzErrorDeg,   0.7376
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  69.0000, AzErrorDeg,   0.8026
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  70.0000, AzErrorDeg,   0.8738
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  71.0000, AzErrorDeg,   0.9522
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  72.0000, AzErrorDeg,   1.0390
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  73.0000, AzErrorDeg,   1.1356
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  74.0000, AzErrorDeg,   1.2439
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  75.0000, AzErrorDeg,   1.3663
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  76.0000, AzErrorDeg,   1.5057
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  77.0000, AzErrorDeg,   1.6662
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  78.0000, AzErrorDeg,   1.8529
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  79.0000, AzErrorDeg,   2.0730
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  80.0000, AzErrorDeg,   2.3367
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  81.0000, AzErrorDeg,   2.6583
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  82.0000, AzErrorDeg,   3.0598
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  83.0000, AzErrorDeg,   3.5754
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  84.0000, AzErrorDeg,   4.2624
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  85.0000, AzErrorDeg,   5.2243
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  86.0000, AzErrorDeg,   6.6687
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  87.0000, AzErrorDeg,   9.0847
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  88.0000, AzErrorDeg,  13.9708
